Feature,Coefficient,abs_coefficient
MP_x,2.433787131262928,2.433787131262928
MP_y,-2.114192950031854,2.114192950031854
3P%_y,0.8189836067829458,0.8189836067829458
TRB_y,-0.7480151064132043,0.7480151064132043
afterWin_winLoss_ATS_x_y,-0.6728041117272898,0.6728041117272898
seedDiff,0.500113107659659,0.500113107659659
AST_x,-0.4607605123691557,0.4607605123691557
STL_y,0.36830116911333005,0.36830116911333005
away_winLoss_ATS_x_x,0.36062842989222055,0.36062842989222055
overallWinPercentage_ATS_x_y,0.3495241731576217,0.3495241731576217
underdogPerc_interaction_MOV_y,0.21766870247957654,0.21766870247957654
afterWin_winLoss_Win_percent_x_y,-0.1832687164528491,0.1832687164528491
ORB_x,-0.15773994007867534,0.15773994007867534
FTA_x,-0.1545033633194114,0.1545033633194114
3PA_y,-0.15078148517508097,0.15078148517508097
FT%_y,-0.14690097648166028,0.14690097648166028
3PA_x,-0.14510410229021825,0.14510410229021825
upperclassmen_y,-0.13990854963535607,0.13990854963535607
neutralSite_winLoss_ATS_x_x,0.12945186243201637,0.12945186243201637
PF_y,0.12930690391645402,0.12930690391645402
SOS_x,0.12322839766194617,0.12322839766194617
FG%_y,0.09515559065673594,0.09515559065673594
away_winLoss_ATS_x_y,-0.05026745216700232,0.05026745216700232
3P%_x,0.034781693474721216,0.034781693474721216
Opp_y,-0.02474571702120686,0.02474571702120686
underdogPerc_interaction_ATS_x,0.014562166540186227,0.014562166540186227
SRS_y,0.0,0.0
neutralSite_winLoss_MOV_x_y,0.0,0.0
neutralSite_winLoss_ATS_x_y,0.0,0.0
isUnderdog_x,0.0,0.0
overallWinPercentage_Win_percent_x_y,0.0,0.0
overallWinPercentage_MOV_x_y,0.0,0.0
TOV_y,0.0,0.0
BLK_y,0.0,0.0
SOS_y,0.0,0.0
FGA_y,0.0,0.0
Tm_y,0.0,0.0
AST_y,0.0,0.0
ORB_y,0.0,0.0
FTA_y,0.0,0.0
FT_y,0.0,0.0
FG_y,0.0,0.0
3P_y,0.0,0.0
neutralSite_winLoss_Win_percent_x_y,0.0,0.0
afterWin_winLoss_Win_percent_x_x,0.0,0.0
away_winLoss_MOV_x_y,0.0,0.0
FG_x,0.0,0.0
afterWin_winLoss_ATS_x_x,0.0,0.0
underdogPerc_interaction_percent_x,0.0,0.0
underdogPerc_interaction_MOV_x,0.0,0.0
away_winLoss_MOV_x_x,0.0,0.0
neutralSite_winLoss_Win_percent_x_x,0.0,0.0
neutralSite_winLoss_MOV_x_x,0.0,0.0
overallWinPercentage_Win_percent_x_x,0.0,0.0
overallWinPercentage_MOV_x_x,0.0,0.0
overallWinPercentage_ATS_x_x,0.0,0.0
upperclassmen_x,0.0,0.0
SRS_x,0.0,0.0
Tm_x,0.0,0.0
Opp_x,0.0,0.0
FGA_x,0.0,0.0
away_winLoss_Win_percent_x_y,0.0,0.0
FG%_x,0.0,0.0
3P_x,0.0,0.0
FT_x,0.0,0.0
FT%_x,0.0,0.0
TRB_x,0.0,0.0
STL_x,0.0,0.0
BLK_x,0.0,0.0
TOV_x,0.0,0.0
PF_x,0.0,0.0
afterWin_winLoss_MOV_x_y,0.0,0.0
afterWin_winLoss_MOV_x_x,0.0,0.0
underdogPerc_interaction_percent_y,0.0,0.0
underdogPerc_interaction_ATS_y,0.0,0.0
isUnderdog_y,0.0,0.0
