,Team,year,upperclassmen,SRS,SOS,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,alabama,2023,2.0,23.19,9.65,3027,2526,1510,1023,2314,.442,366,1093,.335,615,848,.725,484,1652,555,224,189,512,691
1,arizona,2023,6.0,19.08,8.34,2866,2490,1400,1023,2072,.494,295,781,.378,525,742,.708,356,1376,662,213,110,468,593
2,arizona state,2023,4.0,11.29,8.18,2559,2447,1455,910,2163,.421,274,851,.322,465,675,.689,395,1315,515,255,170,422,668
3,arkansas,2023,3.0,15.99,9.87,2666,2446,1445,961,2063,.466,179,572,.313,565,810,.698,373,1272,462,302,182,458,694
4,auburn,2023,7.0,14.35,9.29,2474,2302,1365,875,1991,.439,221,701,.315,503,723,.696,396,1231,479,263,172,414,655
5,baylor,2023,5.0,17.30,10.54,2619,2389,1365,880,1957,.450,323,878,.368,536,720,.744,391,1155,483,223,82,413,590
6,boise state,2023,5.0,12.78,6.21,2451,2198,1375,878,1938,.453,265,733,.362,430,587,.733,307,1215,385,171,97,379,555
7,colgate,2023,6.0,2.20,-5.86,2733,2426,1400,1042,2038,.511,286,709,.403,363,549,.661,279,1179,637,248,100,357,438
8,college of charleston,2023,3.0,8.40,-4.02,2804,2353,1410,959,2202,.436,348,1051,.331,538,723,.744,472,1411,478,259,109,418,590
9,connecticut,2023,4.0,22.95,8.51,3064,2501,1560,1082,2333,.464,353,973,.363,547,719,.761,507,1534,684,245,190,503,692
10,creighton,2023,3.0,17.83,9.80,2828,2531,1490,1014,2164,.469,319,902,.354,481,614,.783,306,1369,581,185,152,429,486
11,drake,2023,5.0,7.84,-1.14,2617,2236,1430,952,2032,.469,278,751,.370,435,567,.767,278,1250,478,187,92,368,522
12,duke,2023,2.0,15.83,7.44,2592,2290,1445,936,2072,.452,245,731,.335,475,620,.766,432,1392,526,204,163,432,549
13,fdu,2023,5.0,-8.98,-9.83,2863,2744,1495,1045,2312,.452,302,876,.345,471,626,.752,427,1271,545,295,74,425,696
14,florida atlantic,2023,6.0,13.92,2.30,3035,2547,1570,1084,2326,.466,375,1024,.366,492,684,.719,425,1519,562,252,100,460,613
15,furman,2023,4.0,4.89,-2.90,2911,2563,1455,1016,2129,.477,340,988,.344,539,727,.741,351,1262,600,238,115,397,604
16,gonzaga,2023,5.0,18.99,8.04,3187,2715,1485,1188,2282,.521,279,737,.379,532,768,.693,383,1376,602,268,127,397,613
17,grand canyon,2023,5.0,4.43,1.27,2706,2421,1450,933,2018,.462,323,843,.383,517,722,.716,364,1317,452,177,115,430,648
18,houston,2023,4.0,22.20,4.79,2770,2126,1480,1010,2203,.458,284,835,.340,466,636,.733,474,1441,544,293,182,370,618
19,howard,2023,3.0,-5.04,-5.14,2634,2542,1405,934,2038,.458,282,754,.374,484,679,.713,407,1252,523,252,109,573,614
20,illinois,2023,3.0,14.81,7.65,2452,2216,1335,874,1946,.449,251,815,.308,453,667,.679,366,1248,409,229,186,426,559
21,indiana,2023,4.0,14.94,8.88,2616,2404,1405,994,2044,.486,200,544,.368,428,602,.711,321,1250,533,203,177,402,599
22,iona,2023,5.0,7.61,-2.76,2660,2297,1405,979,2135,.459,247,683,.362,453,619,.732,389,1245,520,261,192,367,568
23,iowa,2023,6.0,14.08,8.69,2642,2464,1335,941,2077,.453,265,779,.340,495,671,.738,398,1207,541,216,112,325,488
24,iowa state,2023,6.0,15.36,10.39,2231,2067,1330,834,1882,.443,211,637,.331,352,525,.670,380,1111,457,290,96,427,633
25,kansas,2023,4.0,19.20,11.84,2715,2450,1450,1002,2142,.468,251,724,.347,460,639,.720,353,1294,590,317,139,444,597
26,kansas state,2023,6.0,15.79,9.48,2742,2515,1465,961,2083,.461,258,752,.343,562,751,.748,355,1247,611,289,100,498,644
27,kennesaw state,2023,7.0,0.60,-2.06,2626,2415,1415,931,2021,.461,286,783,.365,478,723,.661,337,1234,502,276,96,434,631
28,kent state,2023,6.0,7.53,-1.22,2665,2305,1405,957,2128,.450,275,818,.336,476,656,.726,386,1249,432,309,138,398,659
29,kentucky,2023,5.0,14.76,8.08,2532,2305,1370,929,2045,.454,213,613,.347,461,653,.706,472,1339,512,219,125,400,545
30,louisiana,2023,5.0,4.27,-0.51,2630,2362,1365,950,1972,.482,239,635,.376,491,720,.682,377,1241,489,244,102,415,577
31,marquette,2023,3.0,17.07,8.01,2856,2530,1460,1056,2174,.486,322,912,.353,422,588,.718,317,1146,624,330,108,386,582
32,maryland,2023,6.0,14.58,8.35,2440,2222,1405,862,1925,.448,233,710,.328,483,660,.732,342,1175,398,191,131,373,560
33,memphis,2023,7.0,14.50,6.90,2778,2512,1415,1004,2096,.479,215,609,.353,555,743,.747,364,1256,546,301,158,467,637
34,miami (fl),2023,5.0,13.98,6.84,2925,2661,1485,1058,2205,.480,278,755,.368,531,677,.784,384,1285,535,270,115,411,527
35,michigan state,2023,5.0,14.25,11.25,2411,2309,1380,879,1944,.452,252,642,.393,401,528,.759,307,1213,497,160,102,370,557
36,mississippi state,2023,7.0,11.43,6.69,2234,2073,1380,816,1936,.421,178,669,.266,424,655,.647,440,1288,482,293,117,434,517
37,missouri,2023,7.0,11.41,6.89,2762,2604,1410,988,2092,.472,325,904,.360,461,608,.758,310,1058,558,357,95,390,631
38,montana state,2023,5.0,2.18,-1.43,2588,2342,1410,879,1876,.469,216,642,.336,614,814,.754,291,1154,438,229,104,415,641
39,nc state,2023,5.0,12.50,5.58,2643,2408,1365,982,2181,.450,281,810,.347,398,551,.722,385,1244,434,266,152,320,592
40,nevada,2023,5.0,10.01,6.41,2397,2238,1345,799,1794,.445,238,678,.351,561,708,.792,245,1101,474,197,100,339,592
41,northern kentucky,2023,5.0,-0.83,-2.89,2372,2224,1425,851,1997,.426,283,827,.342,387,556,.696,394,1136,468,329,89,395,535
42,northwestern,2023,5.0,13.68,8.71,2303,2134,1370,801,1968,.407,259,807,.321,442,584,.757,350,1174,434,267,133,327,549
43,oral roberts,2023,7.0,8.55,-2.84,2915,2458,1400,1058,2231,.474,375,1027,.365,424,548,.774,313,1288,514,237,188,329,453
44,penn state,2023,5.0,13.04,9.02,2673,2524,1505,978,2111,.463,385,995,.387,332,449,.739,227,1205,508,161,79,332,572
45,pittsburgh,2023,6.0,10.59,5.20,2704,2510,1440,930,2081,.447,325,903,.360,519,684,.759,364,1301,506,185,147,400,585
46,princeton,2023,4.0,4.76,-0.97,2416,2192,1295,867,1906,.455,272,796,.342,410,576,.712,325,1248,430,156,106,385,512
47,providence,2023,5.0,12.89,6.55,2552,2343,1345,901,1975,.456,218,630,.346,532,717,.742,400,1257,482,226,147,387,495
48,purdue,2023,3.0,18.23,8.31,2543,2196,1405,884,1936,.457,239,743,.322,536,720,.744,430,1354,542,166,129,388,479
49,saint mary's (ca),2023,4.0,17.41,7.18,2473,2105,1415,888,1952,.455,263,720,.365,434,625,.694,371,1236,436,239,122,373,579
50,san diego state,2023,7.0,15.81,8.92,2775,2475,1570,986,2251,.438,271,778,.348,532,737,.722,426,1416,504,262,151,452,634
51,southeast missouri state,2023,7.0,-7.40,-6.81,2789,2734,1465,958,2191,.437,286,875,.327,587,828,.709,347,1262,497,251,115,471,767
52,southern california,2023,4.0,13.06,8.00,2391,2224,1325,855,1878,.455,214,620,.345,465,624,.745,310,1164,445,227,167,410,568
53,tcu,2023,6.0,15.61,8.78,2634,2395,1405,965,2128,.453,197,636,.310,507,725,.699,402,1254,565,281,166,416,578
54,tennessee,2023,4.0,20.84,7.98,2547,2084,1445,908,2097,.433,276,840,.329,455,643,.708,464,1382,601,297,130,431,596
55,texas,2023,5.0,20.56,10.43,2963,2578,1535,1083,2289,.473,274,790,.347,523,699,.748,366,1296,614,299,136,439,663
56,texas a&m,2023,5.0,13.76,7.42,2549,2327,1400,835,1932,.432,217,666,.326,662,872,.759,435,1288,439,235,82,430,637
57,texas southern,2023,3.0,-10.56,-5.05,2422,2518,1430,894,2095,.427,163,588,.277,471,709,.664,405,1313,412,235,116,511,657
58,uc santa barbara,2023,5.0,3.30,-2.03,2510,2305,1405,924,1875,.493,194,555,.350,468,644,.727,279,1113,495,222,87,397,562
59,ucla,2023,4.0,22.11,8.66,2743,2245,1480,1033,2245,.460,227,651,.349,450,616,.731,418,1307,538,310,142,371,573
60,unc asheville,2023,7.0,-1.74,-4.35,2604,2418,1420,897,1890,.475,274,707,.388,536,772,.694,295,1219,446,221,140,496,542
61,utah state,2023,6.0,14.23,6.81,2736,2446,1405,947,1975,.479,325,840,.387,517,678,.763,300,1243,585,175,117,426,589
62,vermont,2023,6.0,1.63,-3.13,2471,2276,1377,901,1901,.474,292,816,.358,377,541,.697,220,1065,465,200,98,318,504
63,virginia,2023,6.0,13.28,5.98,2237,1996,1325,793,1765,.449,220,629,.350,431,613,.703,273,1064,519,225,142,282,471
64,virginia commonwealth,2023,3.0,9.89,1.95,2480,2202,1400,864,1867,.463,212,610,.348,540,776,.696,324,1161,456,311,160,468,575
65,west virginia,2023,6.0,15.95,10.89,2583,2411,1365,882,1953,.452,248,708,.350,571,769,.743,383,1152,442,227,104,440,632
66,xavier,2023,6.0,16.03,9.16,2995,2741,1485,1109,2256,.492,274,703,.390,503,708,.710,380,1396,705,236,120,459,593
