Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Drew Timme,37,37,1167,30.6,.628,.620,.047,.486,771,9.9,17.6,13.9,19.2,1.1,3.3,13.3,30.2,,5.5,1.5,7.0,.240,,8.1,1.5,9.6,
Anton Watson,37,37,1078,22.7,.627,.637,.176,.421,441,9.9,14.7,12.4,12.6,3.4,2.5,12.1,16.9,,3.5,1.8,5.3,.198,,5.4,3.4,8.8,
Julian Strawther,37,37,1154,19.7,.602,.568,.484,.331,500,3.0,19.7,11.7,6.7,1.5,1.5,10.7,22.2,,3.2,1.6,4.8,.165,,4.9,0.9,5.8,
Malachi Smith,37,1,769,21.0,.656,.637,.405,.216,303,5.1,15.0,10.2,10.3,2.5,0.1,10.6,17.4,,2.5,1.0,3.5,.184,,6.2,2.0,8.2,
Rasir Bolton,37,37,967,15.2,.561,.524,.445,.300,366,0.9,7.4,4.3,14.5,1.7,0.4,10.8,18.7,,2.2,0.9,3.2,.131,,2.3,0.8,3.1,
Nolan Hickman,37,36,1035,12.2,.529,.510,.510,.125,309,0.9,8.9,5.1,16.1,1.9,1.2,15.1,15.0,,1.5,1.1,2.6,.100,,1.6,1.6,3.2,
Ben Gregg,36,0,428,23.2,.621,.593,.473,.326,194,13.1,16.5,14.8,8.7,2.2,6.1,12.4,19.4,,1.5,0.7,2.2,.210,,4.9,2.5,7.4,
Hunter Sallis,37,0,619,12.3,.548,.508,.328,.313,180,3.7,11.2,7.6,11.7,2.2,1.2,15.7,14.1,,1.0,0.8,1.7,.111,,0.2,2.1,2.4,
Efton Reid,25,0,116,14.0,.614,.622,.081,.351,48,10.5,15.4,13.1,2.9,1.4,1.9,24.5,24.0,,0.1,0.1,0.3,.088,,-6.9,-0.4,-7.3,
Colby Brooks,8,0,23,42.6,.785,.773,.182,.455,15,10.6,29.2,20.3,0.0,4.8,0.0,18.3,34.7,,0.1,0.1,0.2,.282,,0.0,0.4,0.4,
Dominick Harris,13,0,59,11.3,.501,.472,.611,.111,21,2.1,13.3,7.9,17.4,0.9,1.8,13.7,18.2,,0.1,0.1,0.2,.105,,-5.8,-2.9,-8.7,
Abe Eagle,5,0,11,13.1,.506,.667,.000,.667,4,0.0,10.2,5.3,14.7,0.0,0.0,0.0,17.5,,0.0,0.0,0.0,.091,,-7.7,-4.0,-11.8,
